"TABLE_NAME","COMMENTS"
"ALL_CUBE_DIM_LEVELS","OLAP Dimension Levels in the database accessible by the user"
"USER_CUBE_DIM_LEVELS","OLAP Dimension Levels owned by the user in the database"
"ALL_CUBE_ATTRIBUTES","OLAP Attributes in the database accessible by the user"
"USER_CUBE_ATTRIBUTES","OLAP Attributes owned by the user in the database"
"ALL_CUBE_ATTR_VISIBILITY","OLAP Attributes visible for Dimensions, Hierarchies, and Levels"
"USER_CUBE_ATTR_VISIBILITY","OLAP Attributes visible for Dimensions, Hierarchies, and Levels"
"ALL_CUBE_DIM_MODELS","OLAP Dimension Models in the database accessible to the user"
"USER_CUBE_DIM_MODELS","OLAP Dimension Models in the database accessible to the user"
"ALL_CUBE_CALCULATED_MEMBERS","OLAP Calculated Members in the database accessible to the user"
"USER_CUBE_CALCULATED_MEMBERS","OLAP Calculated Members in the database accessible to the user"
"ALL_CUBE_VIEWS","OLAP Cube Views in the database accessible by the user"
"USER_CUBE_VIEWS","OLAP Cube Views owned by the user in the database"
"ALL_CUBE_VIEW_COLUMNS","OLAP Cube View Columns in the database accessible by the user"
"USER_CUBE_VIEW_COLUMNS","OLAP Cube View Columns owned by the user in the database"
"ALL_CUBE_DIM_VIEWS","OLAP Dimension Views in the database accessible by the user"
"USER_CUBE_DIM_VIEWS","OLAP Dimension Views owned by the user in the database"
"ALL_CUBE_DIM_VIEW_COLUMNS","OLAP Dimesion View Columns in the database accessible to the user"
"USER_CUBE_DIM_VIEW_COLUMNS","OLAP Dimesion View Columns in the database accessible to the user"
"ALL_CUBE_HIER_VIEWS","OLAP Hierarchy Views in the database accessible to the user"
"USER_CUBE_HIER_VIEWS","OLAP Hierarchy Views owner by the user in the database"
"ALL_CUBE_HIER_VIEW_COLUMNS","OLAP Hierarchy View Columns in the database accessible to the user"
"USER_CUBE_HIER_VIEW_COLUMNS","OLAP Hierarchy View Columns owned by the user in the database"
"ALL_MEASURE_FOLDERS","OLAP Measure Folders in the database accessible to the user"
"USER_MEASURE_FOLDERS","OLAP Measure Folders owned by the user in the database"
"ALL_MEASURE_FOLDER_CONTENTS","OLAP Measure Folder Contents in the database accessible by the user"
"USER_MEASURE_FOLDER_CONTENTS","OLAP Measure Folder Contents owned by the user in the database"
"ALL_CUBE_BUILD_PROCESSES","OLAP Build Processes in the database accessible to the user"
"USER_CUBE_BUILD_PROCESSES","OLAP Build Processes owned by the user in the database"
"USER_QUEUE_SUBSCRIBERS","queue subscribers under a user'schema"
"ALL_QUEUE_SUBSCRIBERS","All queue subscribers accessible to user"
"USER_SCHEDULER_PROGRAMS","Scheduler programs owned by the current user"
"ALL_SCHEDULER_PROGRAMS","All scheduler programs visible to the user"
"USER_SCHEDULER_DESTS","Destination objects for jobs in the database owned by current user"
"ALL_SCHEDULER_DESTS","All destination objects for jobs in the database visible to current user"
"ALL_SCHEDULER_EXTERNAL_DESTS","User-visible destination objects in the database pointing to remote agents"
"USER_SCHEDULER_DB_DESTS","User-owned destination objects in the database pointing to remote databases"
"ALL_SCHEDULER_DB_DESTS","User-visible destination objects in the database pointing to remote databases"
"USER_SCHEDULER_JOB_DESTS","State of all jobs owned by current user at each of their destinations"
"ALL_SCHEDULER_JOB_DESTS","State of all jobs visible to current user at each of their destinations"
"USER_SCHEDULER_JOBS","All scheduler jobs in the database"
"ALL_SCHEDULER_JOBS","All scheduler jobs visible to the user"
"ALL_SCHEDULER_JOB_CLASSES","All scheduler classes visible to the user"
"ALL_SCHEDULER_WINDOWS","All scheduler windows in the database"
"USER_SCHEDULER_PROGRAM_ARGS","All arguments of all scheduler programs in the database"
"ALL_SCHEDULER_PROGRAM_ARGS","All arguments of all scheduler programs visible to the user"
"USER_SCHEDULER_JOB_ARGS","All arguments with set values of all scheduler jobs in the database"
"ALL_SCHEDULER_JOB_ARGS","All arguments with set values of all scheduler jobs in the database"
"USER_SCHEDULER_JOB_LOG","Logged information for all scheduler jobs"
"USER_SCHEDULER_JOB_RUN_DETAILS","The details of a job run"
"ALL_SCHEDULER_JOB_LOG","Logged information for all scheduler jobs"
"ALL_SCHEDULER_JOB_RUN_DETAILS","The details of a job run"
"ALL_SCHEDULER_WINDOW_LOG","Logged information for all scheduler windows"
"ALL_SCHEDULER_WINDOW_DETAILS","The details of a window"
"ALL_SCHEDULER_WINDOW_GROUPS","All scheduler window groups in the database"
"ALL_SCHEDULER_WINGROUP_MEMBERS","Members of all scheduler window groups in the database"
"USER_SCHEDULER_GROUP_MEMBERS","Members of all scheduler object groups owned by current user"
"ALL_SCHEDULER_GROUP_MEMBERS","Members of all scheduler object groups visible to current user"
"USER_SCHEDULER_GROUPS","All scheduler object groups owned by current user"
"ALL_SCHEDULER_GROUPS","All scheduler object groups visible to current user"
"USER_SCHEDULER_SCHEDULES","Schedules belonging to the current user"
"ALL_SCHEDULER_SCHEDULES","All schedules in the database"
"ALL_SCHEDULER_REMOTE_JOBSTATE","Remote state of all jobs originating from this database visible to current user"
"USER_SCHEDULER_REMOTE_JOBSTATE","Remote state of all jobs originating from this database owned by current user"
"ALL_SCHEDULER_GLOBAL_ATTRIBUTE","All scheduler global attributes"
"USER_SCHEDULER_CHAINS","All scheduler chains owned by the current user"
"ALL_SCHEDULER_CHAINS","All scheduler chains in the database visible to current user"
"USER_SCHEDULER_CHAIN_RULES","All rules from scheduler chains owned by the current user"
"ALL_SCHEDULER_CHAIN_RULES","All rules from scheduler chains visible to the current user"
"USER_SCHEDULER_CHAIN_STEPS","All steps of scheduler chains owned by the current user"
"ALL_SCHEDULER_CHAIN_STEPS","All steps of scheduler chains visible to the current user"
"USER_SCHEDULER_RUNNING_CHAINS","All steps of chains being run by jobs owned by the current user"
"ALL_SCHEDULER_RUNNING_CHAINS","All job steps of running job chains visible to the user"
"USER_SCHEDULER_CREDENTIALS","Scheduler credentials owned by the current user"
"ALL_SCHEDULER_CREDENTIALS","All scheduler credentials visible to the user"
"USER_SCHEDULER_FILE_WATCHERS","Scheduler file watch requests owned by the current user"
"ALL_SCHEDULER_FILE_WATCHERS","Scheduler file watch requests visible to the current user"
"USER_SCHEDULER_NOTIFICATIONS","All e-mail notifications for jobs owned by the current user"
"ALL_SCHEDULER_NOTIFICATIONS","All job e-mail notifications visible to the current user"
"USER_TUNE_MVIEW","tune_mview catalog view owned by the user"
"USER_FLASHBACK_ARCHIVE","Description of the flashback archives available to the user"
"USER_FLASHBACK_ARCHIVE_TABLES","Information about the user tables that are enabled for Flashback Archive"
"ALL_CAPTURE","Details about each capture process that stores the captured changes in a queue visible to the current user"
"ALL_CAPTURE_PARAMETERS","Details about parameters for each capture process that stores the captured changes in a queue visible to the current user"
"ALL_CAPTURE_PREPARED_DATABASE","Is the local database prepared for instantiation?"
"ALL_CAPTURE_PREPARED_SCHEMAS","All user schemas at the local database that are prepared for instantiation"
"ALL_CAPTURE_PREPARED_TABLES","All tables visible to the current user that are prepared for instantiation"
"ALL_SYNC_CAPTURE_PREPARED_TABS","All tables prepared for synchronous capture instantiation"
"ALL_CAPTURE_EXTRA_ATTRIBUTES","Extra attributes for a capture process that is visible to the current user"
"ALL_SYNC_CAPTURE","Details about each sync capture process that stores the captured changes in a queue visible to the current user"
"ALL_APPLY","Details about each apply process that dequeues from the queue visible to the current user"
"ALL_APPLY_PARAMETERS","Details about parameters of each apply process that dequeues from the queue visible to the current user"
"ALL_APPLY_KEY_COLUMNS","Alternative key columns for a STREAMS table visible to the current user"
"ALL_APPLY_CONFLICT_COLUMNS","Details about conflict resolution on tables visible to the current user"
"ALL_APPLY_TABLE_COLUMNS","Details about the columns of destination table object visible to the user"
"ALL_APPLY_DML_HANDLERS","Details about the dml handler on tables visible to the current user"
"ALL_APPLY_PROGRESS","Information about the progress made by the apply process that dequeues from the queue visible to the current user"
"ALL_APPLY_ERROR","Error transactions that were generated after dequeuing from the queue visible to the current user"
"ALL_APPLY_ERROR_MESSAGES","Details about individual messages in an error transaction"
"ALL_APPLY_ENQUEUE","Details about the apply enqueue action for user accessible rules where the destination queue exists and is visible to the user"
"ALL_APPLY_EXECUTE","Details about the apply execute action for all rules visible to the user"
"ALL_XSTREAM_OUTBOUND","Details about the XStream outbound server visible to user"
"ALL_XSTREAM_INBOUND","Details about the XStream inbound server visible to user"
"ALL_APPLY_CHANGE_HANDLERS","Details about apply change handler"
"ALL_APPLY_DML_CONF_HANDLERS","Details about dml conflict handlers on tables visible to the current user"
"ALL_PROPAGATION","Streams propagation seen by the user"
"ALL_FILE_GROUPS","Details about file groups"
"ALL_FILE_GROUP_VERSIONS","Details about file group versions"
"ALL_FILE_GROUP_EXPORT_INFO","Details about export information of file group versions"
"ALL_FILE_GROUP_FILES","Details about file group files"
"ALL_FILE_GROUP_TABLESPACES","Details about the transportable tablespaces in the file group repository"
"ALL_FILE_GROUP_TABLES","Details about the tables in the file group repository"
"USER_FILE_GROUPS","Details about file groups"
"USER_FILE_GROUP_VERSIONS","Details about file group versions"
"USER_FILE_GROUP_EXPORT_INFO","Details about export information of file group versions"
"USER_FILE_GROUP_FILES","Details about file group files"
"USER_FILE_GROUP_TABLESPACES","Details about the transportable tablespaces in the file group repository"
"USER_FILE_GROUP_TABLES","Details about the tables in the file group repository"
"ALL_STREAMS_MESSAGE_CONSUMERS","Streams messaging consumers visible to the current user"
"ALL_STREAMS_GLOBAL_RULES","Global rules created on the streams capture/apply/propagation process that interact with the queue visible to the current user"
"ALL_STREAMS_SCHEMA_RULES","Rules created by streams administrative APIs on all user schemas"
"ALL_STREAMS_TABLE_RULES","Rules created by streams administrative APIs on tables visible to the current user"
"ALL_STREAMS_MESSAGE_RULES","Rules for Streams messaging visible to the current user"
"ALL_STREAMS_RULES","Rules used by streams processes"
"ALL_SYNC_CAPTURE_TABLES","All tables that are captured by synchronous streams captures."
"ALL_XSTREAM_RULES","Details about the XStream server rules visible to user"
"ALL_STREAMS_TRANSFORM_FUNCTION","Rules-based transform functions used by Streams"
"USER_GOLDENGATE_PRIVILEGES","Details about goldengate privileges"
"USER_COMPARISON","Details about the user's comparison objects"
"USER_COMPARISON_COLUMNS","Details about the comparison object's columns"
"USER_COMPARISON_SCAN","Details about a comparison scan"
"USER_COMPARISON_SCAN_SUMMARY","Details about a comparison scan"
"USER_COMPARISON_SCAN_VALUES","Details about a comparison scan's values"
"USER_COMPARISON_ROW_DIF","Details about the differing rows in a comparison scan"
"ALL_STREAMS_COLUMNS","Streams unsupported columns"
"ALL_STREAMS_UNSUPPORTED","List of all the tables that are not supported by Streams in this release"
"ALL_STREAMS_NEWLY_SUPPORTED","List of objects that are newly supported by Streams"
"USER_EPG_DAD_AUTHORIZATION","DADs authorized to use the user's privileges"
"ALL_XML_TABLES","Description of the all XMLType tables that the user has privileges on"
"USER_XML_TABLES","Description of the user's own XMLType tables"
"ALL_XML_TAB_COLS","Description of the all XMLType tables that the user has privileges on"
"USER_XML_TAB_COLS","Description of the user's own XMLType tables"
"ALL_XML_VIEWS","Description of the all XMLType views that the user has privileges on"
"USER_XML_VIEWS","Description of the user's own XMLType views"
"ALL_XML_VIEW_COLS","Description of the all XMLType views that the user has privileges on"
"USER_XML_VIEW_COLS","Description of the user's own XMLType views"
"ALL_XML_SCHEMAS","Description of all XML Schemas that user has privilege to reference"
"ALL_XML_SCHEMAS2","Dummy version of ALL_XML_SCHEMAS that does not have an XMLTYPE column"
"USER_XML_SCHEMAS","Description of XML Schemas registered by the user"
"ALL_XML_INDEXES","Description of the all XMLType indexes that the user has privileges on"
"USER_XML_INDEXES","Description of the user's own XMLType indexes"
"ALL_XDS_OBJECTS","All XDS enabled objects accessible to the user"
"USER_XDS_OBJECTS","All XDS enabled objects owned by the user"
"ALL_XDS_INSTANCE_SETS","All instance sets for objects accessible to the user in the database"
"USER_XDS_INSTANCE_SETS","All instance sets for objects owned by the user"
"ALL_XDS_ATTRIBUTE_SECS","All objects with XDS column security and accessible to the user"
"USER_XDS_ATTRIBUTE_SECS","All objects with column security and owned by the user"
"ALL_XSC_SECURITY_CLASS","All security class definitions in the database"
"ALL_XSC_SECURITY_CLASS_STATUS","Security class ""enable"" and ""mutable"" status"
"ALL_XSC_SECURITY_CLASS_DEP","All security class dependencies in the database"
"ALL_XSC_PRIVILEGE","All mappings of privileges to security classes in the database"
"ALL_XSC_AGGREGATE_PRIVILEGE","All privileges that make up an aggregate privilege in the database"
"USER_NETWORK_ACL_PRIVILEGES","User privileges to access network hosts through PL/SQL network utility packages"
"USER_DBFS_HS_FILES",""
"USER_ADVISOR_FDG_BREAKDOWN",""
"USER_REPCONFLICT",""
"USER_PART_LOBS",""
"ALL_TRANSFORMATIONS",""
"ALL_IND_SUBPARTITIONS",""
"USER_SQLTUNE_STATISTICS",""
"USER_DBFS_HS_COMMANDS",""
"ALL_PART_KEY_COLUMNS",""
"USER_SQLSET_PLANS",""
"USER_REGISTRY",""
"ALL_LOB_TEMPLATES",""
"USER_ADVISOR_EXEC_PARAMETERS",""
"ALL_SUBPART_COL_STATISTICS",""
"USER_PARALLEL_EXECUTE_CHUNKS",""
"USER_DBFS_HS_PROPERTIES",""
"ALL_REGISTRY_BANNERS",""
"USER_ADVISOR_RATIONALE",""
"USER_ADDM_FDG_BREAKDOWN",""
"USER_QUEUE_SCHEDULES",""
"ALL_PROBE_OBJECTS",""
"USER_ADVISOR_FINDINGS",""
"USER_ADVISOR_SQLW_STMTS",""
"USER_TS",""
"USER_DBFS_HS_FIXED_PROPERTIES",""
"USER_PART_TABLES",""
"USER_SUBPART_COL_STATISTICS",""
"ALL_SQLSET_REFERENCES",""
"USER_ADVISOR_SQLA_WK_STMTS",""
"USER_TAB_PARTITIONS",""
"USER_IND_PARTITIONS",""
"USER_ADVISOR_PARAMETERS",""
"USER_ADVISOR_SQLW_TEMPLATES",""
"USER_ADVISOR_ACTIONS",""
"USER_ADVISOR_SQLW_COLVOL",""
"ALL_ATTRIBUTE_TRANSFORMATIONS",""
"USER_ADVISOR_SQLW_TABLES",""
"ALL_PART_COL_STATISTICS",""
"ALL_SQLSET_STATEMENTS",""
"ALL_IND_PARTITIONS",""
"USER_SQLSET_REFERENCES",""
"USER_ADVISOR_TASKS",""
"USER_ADVISOR_SQLW_JOURNAL",""
"USER_ADDM_TASKS",""
"USER_SQLSET_STATEMENTS",""
"ALL_TAB_PARTITIONS",""
"USER_TAB_SUBPARTITIONS",""
"ALL_PART_LOBS",""
"USER_TRANSFORMATIONS",""
"USER_ADVISOR_EXECUTIONS",""
"ALL_SERVICES",""
"USER_ADVISOR_SQLW_TABVOL",""
"ALL_SUBPARTITION_TEMPLATES",""
"USER_SUBPART_HISTOGRAMS",""
"USER_ADVISOR_LOG",""
"ALL_QUEUE_PUBLISHERS",""
"USER_ADVISOR_SQLA_COLVOL",""
"USER_ADVISOR_SQLPLANS",""
"USER_ADVISOR_SQLSTATS",""
"USER_PART_COL_STATISTICS",""
"USER_ATTRIBUTE_TRANSFORMATIONS",""
"ALL_LOB_SUBPARTITIONS",""
"USER_ADVISOR_SQLA_TABLES",""
"USER_ADVISOR_OBJECTS",""
"USER_FLASHBACK_TXN_REPORT",""
"USER_PART_INDEXES",""
"USER_AQ_AGENT_PRIVS",""
"USER_XML_COLUMN_NAMES",""
"ALL_TAB_SUBPARTITIONS",""
"USER_SUBPARTITION_TEMPLATES",""
"USER_ADVISOR_JOURNAL",""
"USER_ADVISOR_SQLA_REC_SUM",""
"USER_ADVISOR_SQLW_PARAMETERS",""
"USER_ADVISOR_SQLA_WK_MAP",""
"USER_ADVISOR_DIR_TASK_INST",""
"USER_ADVISOR_RECOMMENDATIONS",""
"USER_DBFS_HS",""
"USER_ADVISOR_TEMPLATES",""
"USER_ADVISOR_SQLA_TABVOL",""
"USER_LOB_TEMPLATES",""
"ALL_REPCAT",""
"USER_SQLSET_BINDS",""
"USER_LOB_PARTITIONS",""
"USER_PART_KEY_COLUMNS",""
"USER_FLASHBACK_TXN_STATE",""
"ALL_LOB_PARTITIONS",""
"USER_REPCAT",""
"USER_QUEUE_PUBLISHERS",""
"ALL_QUEUE_SCHEDULES",""
"ALL_SUBPART_HISTOGRAMS",""
"ALL_PART_TABLES",""
"USER_ADDM_FINDINGS",""
"USER_ADVISOR_SQLW_SUM",""
"USER_SQLSET",""
"USER_ADDM_TASK_DIRECTIVES",""
"USER_SUBPART_KEY_COLUMNS",""
"USER_SQLTUNE_RATIONALE_PLAN",""
"USER_IND_SUBPARTITIONS",""
"USER_PART_HISTOGRAMS",""
"ALL_SCHEDULER_REMOTE_DATABASES",""
"USER_PARALLEL_EXECUTE_TASKS",""
"USER_LOB_SUBPARTITIONS",""
"ALL_SQLSET_PLANS",""
"USER_ADDM_INSTANCES",""
"ALL_PART_HISTOGRAMS",""
"ALL_PART_INDEXES",""
"USER_SQLTUNE_PLANS",""
"USER_SQLTUNE_BINDS",""
"ALL_SQLSET",""
"ALL_SQLSET_BINDS",""
"USER_ADVISOR_SQLA_WK_SUM",""
"ALL_SUBPART_KEY_COLUMNS",""
"AUDIT_ACTIONS","Description table for audit trail action type codes.  Maps action type numbers to action type names"
"COLUMN_PRIVILEGES","Grants on columns for which the user is the grantor, grantee, owner, or
 an enabled role or PUBLIC is the grantee"
"DATABASE_COMPATIBLE_LEVEL","Database compatible parameter set via init.ora"
"DBMS_ALERT_INFO",""
"DBMS_LOCK_ALLOCATED",""
"DICTIONARY","Description of data dictionary tables and views"
"DICT_COLUMNS","Description of columns in data dictionary tables and views"
"DUAL",""
"GLOBAL_NAME","global database name"
"INDEX_HISTOGRAM","statistics on keys with repeat count"
"INDEX_STATS","statistics on the b-tree"
"NLS_DATABASE_PARAMETERS","Permanent NLS parameters of the database"
"NLS_INSTANCE_PARAMETERS","NLS parameters of the instance"
"NLS_SESSION_PARAMETERS","NLS parameters of the user session"
"RESOURCE_COST","Cost for each resource"
"ROLE_ROLE_PRIVS","Roles which are granted to roles"
"ROLE_SYS_PRIVS","System privileges granted to roles"
"ROLE_TAB_PRIVS","Table privileges granted to roles"
"SESSION_PRIVS","Privileges which the user currently has set"
"SESSION_ROLES","Roles which the user currently has enabled."
"TABLE_PRIVILEGES","Grants on objects for which the user is the grantor, grantee, owner,
 or an enabled role or PUBLIC is the grantee"
"ALL_SNAPSHOT_REFRESH_TIMES","Synonym for ALL_MVIEW_REFRESH_TIMES"
"CAT","Synonym for USER_CATALOG"
"CLU","Synonym for USER_CLUSTERS"
"V$PARALLEL_DEGREE_LIMIT_MTH","Synonym for V_$PARALLEL_DEGREE_LIMIT_MTH"
"V$PQ_SESSTAT","Synonym for V_$PQ_SESSTAT"
"V$PQ_TQSTAT","Synonym for V_$PQ_TQSTAT"
"V$QUEUEING_MTH","Synonym for V_$QUEUEING_MTH"
"V$RESTORE_POINT","Synonym for V_$RESTORE_POINT"
"V$RSRC_CONSUMER_GROUP","Synonym for V_$RSRC_CONSUMER_GROUP"
"V$RSRC_CONSUMER_GROUP_CPU_MTH","Synonym for V_$RSRC_CONSUMER_GROUP_CPU_MTH"
"V$RSRC_CONS_GROUP_HISTORY","Synonym for V_$RSRC_CONS_GROUP_HISTORY"
"V$RSRC_PLAN","Synonym for V_$RSRC_PLAN"
"V$RSRC_PLAN_CPU_MTH","Synonym for V_$RSRC_PLAN_CPU_MTH"
"V$RSRC_PLAN_HISTORY","Synonym for V_$RSRC_PLAN_HISTORY"
"V$RSRC_SESSION_INFO","Synonym for V_$RSRC_SESSION_INFO"
"V$SESSION_CONNECT_INFO","Synonym for V_$SESSION_CONNECT_INFO"
"V$SESSION_LONGOPS","Synonym for V_$SESSION_LONGOPS"
"V$SQLFN_ARG_METADATA","Synonym for V_$SQLFN_ARG_METADATA"
"V$SQLFN_METADATA","Synonym for V_$SQLFN_METADATA"
"V$SQLPA_METRIC","Synonym for V_$SQLPA_METRIC"
"V$FLASHBACK_TXN_GRAPH","Synonym for V_$FLASHBACK_TXN_GRAPH"
"V$FLASHBACK_TXN_MODS","Synonym for V_$FLASHBACK_TXN_MODS"
"V$LOADISTAT","Synonym for V_$LOADISTAT"
"V$LOADPSTAT","Synonym for V_$LOADPSTAT"
"V$LOCK_ACTIVITY","Synonym for V_$LOCK_ACTIVITY"
"V$MAX_ACTIVE_SESS_TARGET_MTH","Synonym for V_$MAX_ACTIVE_SESS_TARGET_MTH"
"V$NLS_PARAMETERS","Synonym for V_$NLS_PARAMETERS"
"V$NLS_VALID_VALUES","Synonym for V_$NLS_VALID_VALUES"
"V$OPTION","Synonym for V_$OPTION"
"V$TEMPORARY_LOBS","Synonym for V_$TEMPORARY_LOBS"
"V$TIMEZONE_FILE","Synonym for V_$TIMEZONE_FILE"
"V$TIMEZONE_NAMES","Synonym for V_$TIMEZONE_NAMES"
"V$VERSION","Synonym for V_$VERSION"
"GV$DIAG_INFO","Synonym for GV_$DIAG_INFO"
"GV$OPTION","Synonym for GV_$OPTION"
"GV$PARALLEL_DEGREE_LIMIT_MTH","Synonym for GV_$PARALLEL_DEGREE_LIMIT_MTH"
"GV$PQ_SESSTAT","Synonym for GV_$PQ_SESSTAT"
"GV$PQ_TQSTAT","Synonym for GV_$PQ_TQSTAT"
"GV$QUEUEING_MTH","Synonym for GV_$QUEUEING_MTH"
"GV$RESTORE_POINT","Synonym for GV_$RESTORE_POINT"
"GV$RSRC_CONSUMER_GROUP","Synonym for GV_$RSRC_CONSUMER_GROUP"
"GV$RSRC_CONSUMER_GROUP_CPU_MTH","Synonym for GV_$RSRC_CONSUME_GROUP_CPU_MTH"
"GV$RSRC_CONS_GROUP_HISTORY","Synonym for GV_$RSRC_CONS_GROUP_HISTORY"
"GV$RSRC_PLAN","Synonym for GV_$RSRC_PLAN"
"GV$RSRC_PLAN_CPU_MTH","Synonym for GV_$RSRC_PLAN_CPU_MTH"
"GV$RSRC_PLAN_HISTORY","Synonym for GV_$RSRC_PLAN_HISTORY"
"GV$RSRC_SESSION_INFO","Synonym for GV_$RSRC_SESSION_INFO"
"GV$SESSION_LONGOPS","Synonym for GV_$SESSION_LONGOPS"
"GV$SQLFN_ARG_METADATA","Synonym for GV_$SQLFN_ARG_METADATA"
"GV$SQLFN_METADATA","Synonym for GV_$SQLFN_METADATA"
"GV$TEMPORARY_LOBS","Synonym for GV_$TEMPORARY_LOBS"
"GV$TIMEZONE_FILE","Synonym for GV_$TIMEZONE_FILE"
"GV$TIMEZONE_NAMES","Synonym for GV_$TIMEZONE_NAMES"
"GV$ACTIVE_INSTANCES","Synonym for GV_$ACTIVE_INSTANCES"
"GV$ACTIVE_SESS_POOL_MTH","Synonym for GV_$ACTIVE_SESS_POOL_MTH"
"GV$ADVISOR_CURRENT_SQLPLAN","Synonym for GV_$ADVISOR_CURRENT_SQLPLAN"
"GV$AW_LONGOPS","Synonym for GV_$AW_LONGOPS"
"GV$BH","Synonym for GV_$BH"
"GV$BLOCKING_QUIESCE","Synonym for GV_$BLOCKING_QUIESCE"
"V$BH","Synonym for V_$BH"
"V$BLOCKING_QUIESCE","Synonym for V_$BLOCKING_QUIESCE"
"V$DIAG_CRITICAL_ERROR","Synonym for V_$DIAG_CRITICAL_ERROR"
"SEQ","Synonym for USER_SEQUENCES"
"ALL_SOURCE_TABLES","Synonym for USER_SOURCE_TABLES"
"USER_SQLSET_DEFINITIONS","Synonym for USER_SQLSET"
"ALL_SUBSCRIBED_COLUMNS","Synonym for USER_SUBSCRIBED_COLUMNS"
"ALL_SUBSCRIBED_TABLES","Synonym for USER_SUBSCRIBED_TABLES"
"ALL_SUBSCRIPTIONS","Synonym for USER_SUBSCRIPTIONS"
"SYN","Synonym for USER_SYNONYMS"
"TABS","Synonym for USER_TABLES"
"COLS","Synonym for USER_TAB_COLUMNS"
"USER_HISTOGRAMS","Synonym for USER_TAB_HISTOGRAMS"
"GV$LOADISTAT","Synonym for GV_$LOADISTAT"
"GV$LOADPSTAT","Synonym for GV_$LOADPSTAT"
"GV$LOCK_ACTIVITY","Synonym for GV_$LOCK_ACTIVITY"
"GV$MAX_ACTIVE_SESS_TARGET_MTH","Synonym for GV_$MAX_ACTIVE_SESS_TARGET_MTH"
"GV$NLS_PARAMETERS","Synonym for GV_$NLS_PARAMETERS"
"GV$NLS_VALID_VALUES","Synonym for GV_$NLS_VALID_VALUES"
"SM$VERSION","Synonym for SM_$VERSION"
"USER_SNAPSHOT_REFRESH_TIMES","Synonym for USER_MVIEW_REFRESH_TIMES"
"OBJ","Synonym for USER_OBJECTS"
"ALL_OUTLINES","Synonym for USER_OUTLINES"
"ALL_OUTLINE_HINTS","Synonym for USER_OUTLINE_HINTS"
"ALL_PUBLISHED_COLUMNS","Synonym for USER_PUBLISHED_COLUMNS"
"RECYCLEBIN","Synonym for USER_RECYCLEBIN"
"V$DIAG_INFO","Synonym for V_$DIAG_INFO"
"DICT","Synonym for DICTIONARY"
"V$ACTIVE_INSTANCES","Synonym for V_$ACTIVE_INSTANCES"
"V$ACTIVE_SESS_POOL_MTH","Synonym for V_$ACTIVE_SESS_POOL_MTH"
"V$ADVISOR_CURRENT_SQLPLAN","Synonym for V_$ADVISOR_CURRENT_SQLPLAN"
"V$ADVISOR_PROGRESS","Synonym for V_$ADVISOR_PROGRESS"
"V$AW_LONGOPS","Synonym for V_$AW_LONGOPS"
"ALL_HISTOGRAMS","Synonym for ALL_TAB_HISTOGRAMS"
"GV$VERSION","Synonym for GV_$VERSION"
"IND","Synonym for USER_INDEXES"
"ALL_JOBS","Synonym for USER_JOBS"

804 rows selected. 

