"TABLE_NAME","COMMENTS"
"DBA_CUBE_VIEWS","OLAP Cube Views in the database"
"ALL_CUBE_VIEWS","OLAP Cube Views in the database accessible by the user"
"USER_CUBE_VIEWS","OLAP Cube Views owned by the user in the database"
"DBA_CUBE_VIEW_COLUMNS","OLAP Cube View Columns in the database"
"ALL_CUBE_VIEW_COLUMNS","OLAP Cube View Columns in the database accessible by the user"
"USER_CUBE_VIEW_COLUMNS","OLAP Cube View Columns owned by the user in the database"
"DBA_CUBE_DIM_VIEWS","OLAP Dimension Views in the database"
"ALL_CUBE_DIM_VIEWS","OLAP Dimension Views in the database accessible by the user"
"USER_CUBE_DIM_VIEWS","OLAP Dimension Views owned by the user in the database"
"DBA_CUBE_DIM_VIEW_COLUMNS","OLAP Dimesion View Columns in the database"
"ALL_CUBE_DIM_VIEW_COLUMNS","OLAP Dimesion View Columns in the database accessible to the user"
"USER_CUBE_DIM_VIEW_COLUMNS","OLAP Dimesion View Columns in the database accessible to the user"
"DBA_CUBE_HIER_VIEWS","OLAP Hierarchy Views in the database"
"ALL_CUBE_HIER_VIEWS","OLAP Hierarchy Views in the database accessible to the user"
"USER_CUBE_HIER_VIEWS","OLAP Hierarchy Views owner by the user in the database"
"DBA_CUBE_HIER_VIEW_COLUMNS","OLAP Hierarchy View Columns in the database"
"ALL_CUBE_HIER_VIEW_COLUMNS","OLAP Hierarchy View Columns in the database accessible to the user"
"USER_CUBE_HIER_VIEW_COLUMNS","OLAP Hierarchy View Columns owned by the user in the database"
"DBA_MEASURE_FOLDERS","OLAP Measure Folders in the database"
"ALL_MEASURE_FOLDERS","OLAP Measure Folders in the database accessible to the user"
"USER_MEASURE_FOLDERS","OLAP Measure Folders owned by the user in the database"
"DBA_MEASURE_FOLDER_CONTENTS","OLAP Measure Folder Contents in the database"
"ALL_MEASURE_FOLDER_CONTENTS","OLAP Measure Folder Contents in the database accessible by the user"
"USER_MEASURE_FOLDER_CONTENTS","OLAP Measure Folder Contents owned by the user in the database"
"DBA_CUBE_BUILD_PROCESSES","OLAP Build Processes in the database"
"ALL_CUBE_BUILD_PROCESSES","OLAP Build Processes in the database accessible to the user"
"USER_CUBE_BUILD_PROCESSES","OLAP Build Processes owned by the user in the database"
"USER_QUEUE_SUBSCRIBERS","queue subscribers under a user'schema"
"ALL_QUEUE_SUBSCRIBERS","All queue subscribers accessible to user"
"DBA_QUEUE_SUBSCRIBERS","queue subscribers in the database"
"DBA_SCHEDULER_PROGRAMS","All scheduler programs in the database"
"USER_SCHEDULER_PROGRAMS","Scheduler programs owned by the current user"
"ALL_SCHEDULER_PROGRAMS","All scheduler programs visible to the user"
"DBA_SCHEDULER_DESTS","All possible destination objects for jobs in the database"
"USER_SCHEDULER_DESTS","Destination objects for jobs in the database owned by current user"
"ALL_SCHEDULER_DESTS","All destination objects for jobs in the database visible to current user"
"DBA_SCHEDULER_EXTERNAL_DESTS","All destination objects in the database pointing to remote agents"
"ALL_SCHEDULER_EXTERNAL_DESTS","User-visible destination objects in the database pointing to remote agents"
"DBA_SCHEDULER_DB_DESTS","All destination objects in the database pointing to remote databases"
"USER_SCHEDULER_DB_DESTS","User-owned destination objects in the database pointing to remote databases"
"ALL_SCHEDULER_DB_DESTS","User-visible destination objects in the database pointing to remote databases"
"DBA_SCHEDULER_JOB_DESTS","State of all jobs at each of their destinations"
"USER_SCHEDULER_JOB_DESTS","State of all jobs owned by current user at each of their destinations"
"ALL_SCHEDULER_JOB_DESTS","State of all jobs visible to current user at each of their destinations"
"DBA_SCHEDULER_JOBS","All scheduler jobs in the database"
"USER_SCHEDULER_JOBS","All scheduler jobs in the database"
"ALL_SCHEDULER_JOBS","All scheduler jobs visible to the user"
"DBA_SCHEDULER_JOB_ROLES","All scheduler jobs in the database by database role"
"DBA_SCHEDULER_JOB_CLASSES","All scheduler classes in the database"
"ALL_SCHEDULER_JOB_CLASSES","All scheduler classes visible to the user"
"DBA_SCHEDULER_WINDOWS","All scheduler windows in the database"
"ALL_SCHEDULER_WINDOWS","All scheduler windows in the database"
"DBA_SCHEDULER_PROGRAM_ARGS","All arguments of all scheduler programs in the database"
"USER_SCHEDULER_PROGRAM_ARGS","All arguments of all scheduler programs in the database"
"ALL_SCHEDULER_PROGRAM_ARGS","All arguments of all scheduler programs visible to the user"
"DBA_SCHEDULER_JOB_ARGS","All arguments with set values of all scheduler jobs in the database"
"USER_SCHEDULER_JOB_ARGS","All arguments with set values of all scheduler jobs in the database"
"ALL_SCHEDULER_JOB_ARGS","All arguments with set values of all scheduler jobs in the database"
"DBA_SCHEDULER_JOB_LOG","Logged information for all scheduler jobs"
"DBA_SCHEDULER_JOB_RUN_DETAILS","The details of a job run"
"USER_SCHEDULER_JOB_LOG","Logged information for all scheduler jobs"
"USER_SCHEDULER_JOB_RUN_DETAILS","The details of a job run"
"ALL_SCHEDULER_JOB_LOG","Logged information for all scheduler jobs"
"ALL_SCHEDULER_JOB_RUN_DETAILS","The details of a job run"
"DBA_SCHEDULER_WINDOW_LOG","Logged information for all scheduler windows"
"DBA_SCHEDULER_WINDOW_DETAILS","The details of a window"
"ALL_SCHEDULER_WINDOW_LOG","Logged information for all scheduler windows"
"ALL_SCHEDULER_WINDOW_DETAILS","The details of a window"
"DBA_SCHEDULER_WINDOW_GROUPS","All scheduler window groups in the database"
"ALL_SCHEDULER_WINDOW_GROUPS","All scheduler window groups in the database"
"DBA_SCHEDULER_WINGROUP_MEMBERS","Members of all scheduler window groups in the database"
"ALL_SCHEDULER_WINGROUP_MEMBERS","Members of all scheduler window groups in the database"
"DBA_SCHEDULER_GROUP_MEMBERS","Members of all scheduler object groups in the database"
"USER_SCHEDULER_GROUP_MEMBERS","Members of all scheduler object groups owned by current user"
"ALL_SCHEDULER_GROUP_MEMBERS","Members of all scheduler object groups visible to current user"
"DBA_SCHEDULER_GROUPS","All scheduler object groups in the database"
"USER_SCHEDULER_GROUPS","All scheduler object groups owned by current user"
"ALL_SCHEDULER_GROUPS","All scheduler object groups visible to current user"
"DBA_SCHEDULER_SCHEDULES","All schedules in the database"
"USER_SCHEDULER_SCHEDULES","Schedules belonging to the current user"
"ALL_SCHEDULER_SCHEDULES","All schedules in the database"
"DBA_SCHEDULER_REMOTE_DATABASES","List of registered remote databases for jobs"
"DBA_SCHEDULER_REMOTE_JOBSTATE","Remote state of all jobs originating from this database"
"ALL_SCHEDULER_REMOTE_JOBSTATE","Remote state of all jobs originating from this database visible to current user"
"USER_SCHEDULER_REMOTE_JOBSTATE","Remote state of all jobs originating from this database owned by current user"
"DBA_SCHEDULER_GLOBAL_ATTRIBUTE","All scheduler global attributes"
"ALL_SCHEDULER_GLOBAL_ATTRIBUTE","All scheduler global attributes"
"DBA_SCHEDULER_CHAINS","All scheduler chains in the database"
"USER_SCHEDULER_CHAINS","All scheduler chains owned by the current user"
"ALL_SCHEDULER_CHAINS","All scheduler chains in the database visible to current user"
"DBA_SCHEDULER_CHAIN_RULES","All rules from scheduler chains in the database"
"USER_SCHEDULER_CHAIN_RULES","All rules from scheduler chains owned by the current user"
"ALL_SCHEDULER_CHAIN_RULES","All rules from scheduler chains visible to the current user"
"DBA_SCHEDULER_CHAIN_STEPS","All steps of scheduler chains in the database"
"USER_SCHEDULER_CHAIN_STEPS","All steps of scheduler chains owned by the current user"
"ALL_SCHEDULER_CHAIN_STEPS","All steps of scheduler chains visible to the current user"
"DBA_SCHEDULER_RUNNING_CHAINS","All steps of all running chains in the database"
"USER_SCHEDULER_RUNNING_CHAINS","All steps of chains being run by jobs owned by the current user"
"ALL_SCHEDULER_RUNNING_CHAINS","All job steps of running job chains visible to the user"
"DBA_SCHEDULER_CREDENTIALS","All scheduler credentials in the database"
"USER_SCHEDULER_CREDENTIALS","Scheduler credentials owned by the current user"
"ALL_SCHEDULER_CREDENTIALS","All scheduler credentials visible to the user"
"DBA_SCHEDULER_FILE_WATCHERS","All scheduler file watch requests in the database"
"USER_SCHEDULER_FILE_WATCHERS","Scheduler file watch requests owned by the current user"
"ALL_SCHEDULER_FILE_WATCHERS","Scheduler file watch requests visible to the current user"
"DBA_SCHEDULER_NOTIFICATIONS","All job e-mail notifications in the database"
"USER_SCHEDULER_NOTIFICATIONS","All e-mail notifications for jobs owned by the current user"
"ALL_SCHEDULER_NOTIFICATIONS","All job e-mail notifications visible to the current user"
"DBA_EXPORT_OBJECTS","Export INCLUDE and EXCLUDE object type names"
"DBA_LOGSTDBY_UNSUPPORTED_TABLE","List of all the data tables that are not supported by Logical Standby"
"DBA_LOGSTDBY_UNSUPPORTED","List of all the columns that are not supported by Logical Standby"
"DBA_LOGSTDBY_NOT_UNIQUE","List of all the tables with out primary or unique key not null constraints"
"DBA_LOGSTDBY_PARAMETERS","Miscellaneous options and settings for Logical Standby"
"DBA_LOGSTDBY_PROGRESS","List the SCN values describing read and apply progress"
"DBA_LOGSTDBY_LOG","List the information about received logs from the primary"
"DBA_LOGSTDBY_SKIP_TRANSACTION","List the transactions to be skipped"
"DBA_LOGSTDBY_SKIP","List the skip settings choosen"
"DBA_LOGSTDBY_EVENTS","Information on why logical standby events"
"DBA_LOGSTDBY_HISTORY","Information on processed, active, and pending log streams"
"DBA_LOGSTDBY_EDS_TABLES","List of all tables that have EDS-based replication for Logical Standby"
"DBA_LOGSTDBY_EDS_SUPPORTED","List of all tables that could have EDS-based replication for Logical Standby"
"DBA_OUTSTANDING_ALERTS","Description of all outstanding alerts"
"DBA_ALERT_HISTORY","Description on alert history"
"DBA_THRESHOLDS","Desription of all thresholds"
"DBA_TABLESPACE_THRESHOLDS","Space Utilization Threshold settings for all tablespaces"
"DBA_AUTOTASK_OPERATION","Automated Maintenance Task Operation Configuration"
"DBA_AUTOTASK_TASK","Information about current and past autmated maintenance tasks"
"DBA_AUTOTASK_SCHEDULE","Schedule of Maintenance Windows for the next 32 days"
"DBA_AUTOTASK_CLIENT_JOB","Current automated maintenance jobs"
"DBA_AUTOTASK_WINDOW_CLIENTS","Description of per-mainteance window activity"
"DBA_AUTOTASK_WINDOW_HISTORY","Automated Maintenance view of window history"
"DBA_AUTOTASK_CLIENT_HISTORY","Automated Maintenance Jobs history"
"DBA_AUTOTASK_JOB_HISTORY","Automated Maintenance Jobs history"
"DBA_AUTOTASK_CLIENT","Autotask Client Summary Information"
"DBA_HIST_BASELINE","Baseline Metadata Information"
"DBA_HIST_BASELINE_DETAILS","Baseline Stats on per Instance Level"
"DBA_HIST_SQLBIND","SQL Bind Information"
"DBA_TUNE_MVIEW","Catalog View to show the result after executing TUNE_MVIEW() API"
"USER_TUNE_MVIEW","tune_mview catalog view owned by the user"
"DBA_FLASHBACK_ARCHIVE","Description of the flashback archives available in the system"
"USER_FLASHBACK_ARCHIVE","Description of the flashback archives available to the user"
"DBA_FLASHBACK_ARCHIVE_TS","Description of tablespaces in the flashback archives available in the system"
"DBA_FLASHBACK_ARCHIVE_TABLES","Information about the tables that are enabled for Flashback Archive"
"USER_FLASHBACK_ARCHIVE_TABLES","Information about the user tables that are enabled for Flashback Archive"
"DBA_CAPTURE","Details about the capture process"
"DBA_STREAMS_SPLIT_MERGE","view of details of split/merge jobs/status about streams"
"DBA_STREAMS_SPLIT_MERGE_HIST","history view of details of split/merge jobs/status about streams"
"ALL_CAPTURE","Details about each capture process that stores the captured changes in a queue visible to the current user"
"DBA_CAPTURE_PARAMETERS","All parameters for capture process"
"ALL_CAPTURE_PARAMETERS","Details about parameters for each capture process that stores the captured changes in a queue visible to the current user"
"DBA_CAPTURE_PREPARED_DATABASE","Is the local database prepared for instantiation?"
"ALL_CAPTURE_PREPARED_DATABASE","Is the local database prepared for instantiation?"
"DBA_CAPTURE_PREPARED_SCHEMAS","All schemas at the local database that are prepared for instantiation"
"ALL_CAPTURE_PREPARED_SCHEMAS","All user schemas at the local database that are prepared for instantiation"
"DBA_CAPTURE_PREPARED_TABLES","All tables prepared for instantiation"
"ALL_CAPTURE_PREPARED_TABLES","All tables visible to the current user that are prepared for instantiation"
"DBA_SYNC_CAPTURE_PREPARED_TABS","All tables prepared for synchronous capture instantiation"
"ALL_SYNC_CAPTURE_PREPARED_TABS","All tables prepared for synchronous capture instantiation"
"DBA_CAPTURE_EXTRA_ATTRIBUTES","Extra attributes for a capture process"
"ALL_CAPTURE_EXTRA_ATTRIBUTES","Extra attributes for a capture process that is visible to the current user"
"DBA_REGISTERED_ARCHIVED_LOG","Details about the registered log files"
"DBA_SYNC_CAPTURE","Details about the sync capture process"
"ALL_SYNC_CAPTURE","Details about each sync capture process that stores the captured changes in a queue visible to the current user"
"DBA_APPLY","Details about the apply process"
"ALL_APPLY","Details about each apply process that dequeues from the queue visible to the current user"
"DBA_APPLY_PARAMETERS","All parameters for apply process"
"ALL_APPLY_PARAMETERS","Details about parameters of each apply process that dequeues from the queue visible to the current user"
"DBA_APPLY_INSTANTIATED_OBJECTS","Details about objects instantiated"
"DBA_APPLY_INSTANTIATED_SCHEMAS","Details about schemas instantiated"
"DBA_APPLY_INSTANTIATED_GLOBAL","Details about database instantiated"
"DBA_APPLY_KEY_COLUMNS","alternative key columns for a table for STREAMS"
"ALL_APPLY_KEY_COLUMNS","Alternative key columns for a STREAMS table visible to the current user"
"DBA_APPLY_CONFLICT_COLUMNS","Details about conflict resolution"
"ALL_APPLY_CONFLICT_COLUMNS","Details about conflict resolution on tables visible to the current user"
"DBA_APPLY_TABLE_COLUMNS","Details about the destination table columns"
"ALL_APPLY_TABLE_COLUMNS","Details about the columns of destination table object visible to the user"
"DBA_APPLY_DML_HANDLERS","Details about the dml handler"
"ALL_APPLY_DML_HANDLERS","Details about the dml handler on tables visible to the current user"
"DBA_APPLY_PROGRESS","Information about the progress made by apply process"
"ALL_APPLY_PROGRESS","Information about the progress made by the apply process that dequeues from the queue visible to the current user"
"DBA_APPLY_ERROR","Error transactions"
"ALL_APPLY_ERROR","Error transactions that were generated after dequeuing from the queue visible to the current user"
"DBA_APPLY_ERROR_MESSAGES","Details about individual messages in an error transaction"
"ALL_APPLY_ERROR_MESSAGES","Details about individual messages in an error transaction"
"DBA_APPLY_ENQUEUE","Details about the apply enqueue action"
"ALL_APPLY_ENQUEUE","Details about the apply enqueue action for user accessible rules where the destination queue exists and is visible to the user"
"DBA_APPLY_EXECUTE","Details about the apply execute action"
"ALL_APPLY_EXECUTE","Details about the apply execute action for all rules visible to the user"
"DBA_APPLY_SPILL_TXN","Streams apply spilled transactions info"
"DBA_XSTREAM_OUTBOUND","Details about the XStream outbound server"
"ALL_XSTREAM_OUTBOUND","Details about the XStream outbound server visible to user"
"DBA_XSTREAM_INBOUND","Details about the XStream inbound server"
"ALL_XSTREAM_INBOUND","Details about the XStream inbound server visible to user"
"DBA_APPLY_CHANGE_HANDLERS","Details about apply change handler"
"ALL_APPLY_CHANGE_HANDLERS","Details about apply change handler"
"DBA_APPLY_DML_CONF_HANDLERS","Details about dml conflict handlers"
"ALL_APPLY_DML_CONF_HANDLERS","Details about dml conflict handlers on tables visible to the current user"
"DBA_PROPAGATION","Streams propagation in the database"
"ALL_PROPAGATION","Streams propagation seen by the user"
"DBA_FILE_GROUPS","Details about file groups"
"DBA_FILE_GROUP_VERSIONS","Details about file group versions"
"DBA_FILE_GROUP_EXPORT_INFO","Details about export information of file group versions"
"DBA_FILE_GROUP_FILES","Details about file group files"
"DBA_FILE_GROUP_TABLESPACES","Details about the transportable tablespaces in the file group repository"
"DBA_FILE_GROUP_TABLES","Details about the tables in the file group repository"
"ALL_FILE_GROUPS","Details about file groups"
"ALL_FILE_GROUP_VERSIONS","Details about file group versions"
"ALL_FILE_GROUP_EXPORT_INFO","Details about export information of file group versions"
"ALL_FILE_GROUP_FILES","Details about file group files"
"ALL_FILE_GROUP_TABLESPACES","Details about the transportable tablespaces in the file group repository"
"ALL_FILE_GROUP_TABLES","Details about the tables in the file group repository"
"USER_FILE_GROUPS","Details about file groups"
"USER_FILE_GROUP_VERSIONS","Details about file group versions"
"USER_FILE_GROUP_EXPORT_INFO","Details about export information of file group versions"
"USER_FILE_GROUP_FILES","Details about file group files"
"USER_FILE_GROUP_TABLESPACES","Details about the transportable tablespaces in the file group repository"
"USER_FILE_GROUP_TABLES","Details about the tables in the file group repository"
"DBA_STREAMS_TP_DATABASE","DBA Streams Database"
"DBA_STREAMS_TP_COMPONENT","DBA Streams Component"
"DBA_STREAMS_TP_COMPONENT_LINK","DBA Streams Component Link (Streams Topology Links)"
"DBA_STREAMS_TP_COMPONENT_STAT","DBA Streams Component Statistics"
"DBA_STREAMS_TP_PATH_STAT","DBA Streams Path Statistics"
"DBA_STREAMS_TP_PATH_BOTTLENECK","DBA Streams Path Bottleneck"
"DBA_STREAMS_MESSAGE_CONSUMERS","Streams messaging consumers"
"ALL_STREAMS_MESSAGE_CONSUMERS","Streams messaging consumers visible to the current user"
"DBA_STREAMS_GLOBAL_RULES","Global rules created by streams administrative APIs"
"ALL_STREAMS_GLOBAL_RULES","Global rules created on the streams capture/apply/propagation process that interact with the queue visible to the current user"
"DBA_STREAMS_SCHEMA_RULES","Schema rules created by streams administrative APIs"
"ALL_STREAMS_SCHEMA_RULES","Rules created by streams administrative APIs on all user schemas"
"DBA_STREAMS_TABLE_RULES","Table rules created by streams administrative APIs"
"ALL_STREAMS_TABLE_RULES","Rules created by streams administrative APIs on tables visible to the current user"
"DBA_STREAMS_MESSAGE_RULES","Rules for Streams messaging"
"ALL_STREAMS_MESSAGE_RULES","Rules for Streams messaging visible to the current user"
"DBA_STREAMS_RULES","Rules used by Streams processes"
"ALL_STREAMS_RULES","Rules used by streams processes"
"DBA_SYNC_CAPTURE_TABLES","All tables that are captured by synchronous streams captures."
"ALL_SYNC_CAPTURE_TABLES","All tables that are captured by synchronous streams captures."
"DBA_XSTREAM_RULES","Details about the XStream server rules"
"ALL_XSTREAM_RULES","Details about the XStream server rules visible to user"
"DBA_STREAMS_TRANSFORM_FUNCTION","Rules-based transform functions used by Streams"
"ALL_STREAMS_TRANSFORM_FUNCTION","Rules-based transform functions used by Streams"
"DBA_STREAMS_ADMINISTRATOR","Users granted the privileges to be a streams administrator"
"DBA_XSTREAM_ADMINISTRATOR","Users granted the privileges to be a XStream administrator"
"DBA_STREAMS_TRANSFORMATIONS","Transformations defined on rules"
"DBA_STREAMS_RENAME_SCHEMA","Rename schema transformations"
"DBA_STREAMS_RENAME_TABLE","Rename table transformations"
"DBA_STREAMS_DELETE_COLUMN","Delete column transformations"
"DBA_STREAMS_KEEP_COLUMNS","Keep columns transformations"
"DBA_STREAMS_RENAME_COLUMN","Rename column transformations"
"DBA_STREAMS_ADD_COLUMN","Add column transformations"
"DBA_RECOVERABLE_SCRIPT","Details about recoverable operations"
"DBA_RECOVERABLE_SCRIPT_HIST","Details about executed or purged recoverable operations"
"DBA_RECOVERABLE_SCRIPT_PARAMS","Details about the recoverable operation parameters"
"DBA_RECOVERABLE_SCRIPT_BLOCKS","Details about the recoverable script blocks"
"DBA_RECOVERABLE_SCRIPT_ERRORS","Details showing errors during script execution"
"DBA_GOLDENGATE_PRIVILEGES","Details about goldengate privileges"
"USER_GOLDENGATE_PRIVILEGES","Details about goldengate privileges"
"DBA_COMPARISON","Details about the comparison object"
"USER_COMPARISON","Details about the user's comparison objects"
"DBA_COMPARISON_COLUMNS","Details about the comparison object's columns"
"USER_COMPARISON_COLUMNS","Details about the comparison object's columns"
"DBA_COMPARISON_SCAN","Details about a comparison scan"
"DBA_COMPARISON_SCAN_SUMMARY","Details about a comparison scan"
"USER_COMPARISON_SCAN","Details about a comparison scan"
"USER_COMPARISON_SCAN_SUMMARY","Details about a comparison scan"
"DBA_COMPARISON_SCAN_VALUES","Details about a comparison scan's values"
"USER_COMPARISON_SCAN_VALUES","Details about a comparison scan's values"
"DBA_COMPARISON_ROW_DIF","Details about the differing rows in a comparison scan"
"USER_COMPARISON_ROW_DIF","Details about the differing rows in a comparison scan"
"DBA_STREAMS_COLUMNS","Supportability info about streams columns"
"ALL_STREAMS_COLUMNS","Streams unsupported columns"
"DBA_STREAMS_UNSUPPORTED","List of all the tables that are not supported by Streams in this release"
"ALL_STREAMS_UNSUPPORTED","List of all the tables that are not supported by Streams in this release"
"DBA_STREAMS_NEWLY_SUPPORTED","List of tables that are newly supported by Streams capture"
"ALL_STREAMS_NEWLY_SUPPORTED","List of objects that are newly supported by Streams"
"DBA_XSTREAM_OUT_SUPPORT_MODE","List of support mode for objects by XStream Out"
"USER_EPG_DAD_AUTHORIZATION","DADs authorized to use the user's privileges"
"DBA_EPG_DAD_AUTHORIZATION","DADs authorized to use different user's privileges"
"DBA_XML_TABLES","Description of all XML tables in the database"
"ALL_XML_TABLES","Description of the all XMLType tables that the user has privileges on"
"USER_XML_TABLES","Description of the user's own XMLType tables"
"DBA_XML_TAB_COLS","Description of all XML tables in the database"
"ALL_XML_TAB_COLS","Description of the all XMLType tables that the user has privileges on"
"USER_XML_TAB_COLS","Description of the user's own XMLType tables"
"DBA_XML_VIEWS","Description of all XML views in the database"
"ALL_XML_VIEWS","Description of the all XMLType views that the user has privileges on"
"USER_XML_VIEWS","Description of the user's own XMLType views"
"DBA_XML_VIEW_COLS","Description of all XML views in the database"
"ALL_XML_VIEW_COLS","Description of the all XMLType views that the user has privileges on"
"USER_XML_VIEW_COLS","Description of the user's own XMLType views"
"DBA_XML_SCHEMAS","Description of all the XML Schemas registered"
"ALL_XML_SCHEMAS","Description of all XML Schemas that user has privilege to reference"
"ALL_XML_SCHEMAS2","Dummy version of ALL_XML_SCHEMAS that does not have an XMLTYPE column"
"USER_XML_SCHEMAS","Description of XML Schemas registered by the user"
"DBA_XML_INDEXES","Description of all XML indexes in the database"
"ALL_XML_INDEXES","Description of the all XMLType indexes that the user has privileges on"
"USER_XML_INDEXES","Description of the user's own XMLType indexes"
"DBA_XML_SCHEMA_IMPORTS","Description of all XML schema first level dependencies on imported XML schemas"
"DBA_XML_SCHEMA_INCLUDES","Description of all XML schema first level dependencies on included XML schemas"
"DBA_XML_SCHEMA_DEPENDENCY","Description of all XML schema first level dependencies on imported and included XML schemas"
"DBA_NETWORK_ACL_PRIVILEGES","Privileges defined in network access control lists"
"DBA_WALLET_ACLS","Access control lists assigned to restrict access to wallets through PL/SQL network utility packages"
"DBA_XDS_OBJECTS","All XDS enabled objects in the database"
"DBA_NETWORK_ACLS","Access control lists assigned to restrict access to network hosts through PL/SQL network utility packages"
"ALL_XDS_OBJECTS","All XDS enabled objects accessible to the user"
"USER_XDS_OBJECTS","All XDS enabled objects owned by the user"
"DBA_XDS_INSTANCE_SETS","All instance sets in the database"
"ALL_XDS_INSTANCE_SETS","All instance sets for objects accessible to the user in the database"
"USER_XDS_INSTANCE_SETS","All instance sets for objects owned by the user"
"DBA_XDS_ATTRIBUTE_SECS","All XDS column security defined in the database"
"ALL_XDS_ATTRIBUTE_SECS","All objects with XDS column security and accessible to the user"
"USER_XDS_ATTRIBUTE_SECS","All objects with column security and owned by the user"
"ALL_XSC_SECURITY_CLASS","All security class definitions in the database"
"ALL_XSC_SECURITY_CLASS_STATUS","Security class ""enable"" and ""mutable"" status"
"ALL_XSC_SECURITY_CLASS_DEP","All security class dependencies in the database"
"ALL_XSC_PRIVILEGE","All mappings of privileges to security classes in the database"
"ALL_XSC_AGGREGATE_PRIVILEGE","All privileges that make up an aggregate privilege in the database"
"USER_NETWORK_ACL_PRIVILEGES","User privileges to access network hosts through PL/SQL network utility packages"
"USER_ADVISOR_FDG_BREAKDOWN",""
"DBA_IAS_OBJECTS_BASE",""
"USER_REPCONFLICT",""
"USER_PART_LOBS",""
"DBA_ADVISOR_ACTIONS",""
"ALL_PART_KEY_COLUMNS",""
"DBA_PART_COL_STATISTICS",""
"DBA_ADVISOR_DIR_DEFINITIONS",""
"DBA_TAB_SUBPARTITIONS",""
"DBA_WORKLOAD_FILTERS",""
"DBA_PART_TABLES",""
"USER_ADVISOR_EXEC_PARAMETERS",""
"ALL_SUBPART_COL_STATISTICS",""
"DBA_FLASHBACK_TXN_REPORT",""
"DBA_IAS_CONSTRAINT_EXP",""
"DBA_WORKLOAD_CAPTURES",""
"USER_PARALLEL_EXECUTE_CHUNKS",""
"DBA_HIST_ASH_SNAPSHOT",""
"USER_ADVISOR_RATIONALE",""
"USER_ADVISOR_SQLW_STMTS",""
"USER_TS",""
"USER_DBFS_HS_FIXED_PROPERTIES",""
"USER_SUBPART_COL_STATISTICS",""
"ALL_SQLSET_REFERENCES",""
"DBA_ADVISOR_USAGE",""
"DBA_ADVISOR_DEFINITIONS",""
"USER_TAB_PARTITIONS",""
"USER_IND_PARTITIONS",""
"USER_ADVISOR_PARAMETERS",""
"USER_ADVISOR_SQLW_TEMPLATES",""
"USER_ADVISOR_ACTIONS",""
"USER_ADVISOR_SQLW_COLVOL",""
"DBA_REGISTRY_HISTORY",""
"ALL_PART_COL_STATISTICS",""
"DBA_ADDM_TASKS",""
"ALL_IND_PARTITIONS",""
"DBA_WORKLOAD_REPLAYS",""
"DBA_LOCK",""
"USER_ADVISOR_TASKS",""
"USER_ADVISOR_SQLW_JOURNAL",""
"DBA_TAB_PARTITIONS",""
"USER_SQLSET_STATEMENTS",""
"USER_TAB_SUBPARTITIONS",""
"DBA_ADVISOR_SQLW_TEMPLATES",""
"ALL_PART_LOBS",""
"DBA_LOGMNR_LOG",""
"USER_TRANSFORMATIONS",""
"USER_ADVISOR_SQLW_TABVOL",""
"DBA_ADVISOR_OBJECTS",""
"DBA_REGISTRY_HIERARCHY",""
"ALL_QUEUE_PUBLISHERS",""
"DBA_INVALID_OBJECTS",""
"DBA_ATTRIBUTE_TRANSFORMATIONS",""
"DBA_SUBPARTITION_TEMPLATES",""
"USER_ADVISOR_SQLA_COLVOL",""
"USER_ADVISOR_SQLPLANS",""
"DBA_IAS_OBJECTS",""
"USER_ADVISOR_SQLA_TABLES",""
"USER_ADVISOR_OBJECTS",""
"USER_FLASHBACK_TXN_REPORT",""
"DBA_ADDM_TASK_DIRECTIVES",""
"DBA_LOB_TEMPLATES",""
"ALL_TAB_SUBPARTITIONS",""
"DBA_SERVER_REGISTRY",""
"USER_SUBPARTITION_TEMPLATES",""
"DBA_SQLSET_STATEMENTS",""
"USER_ADVISOR_SQLW_PARAMETERS",""
"DBA_LOGMNR_PURGED_LOG",""
"DBA_XMLSCHEMA_LEVEL_VIEW",""
"DBA_DBFS_HS_COMMANDS",""
"DBA_IAS_POSTGEN_STMTS",""
"DBA_ADVISOR_PARAMETERS",""
"DBA_REPCAT",""
"DBA_LOCK_INTERNAL",""
"USER_ADVISOR_DIR_TASK_INST",""
"DBA_ADVISOR_SQLW_STMTS",""
"DBA_DBFS_HS_FIXED_PROPERTIES",""
"DBA_IAS_TEMPLATES",""
"DBA_ADVISOR_TEMPLATES",""
"DBA_LOB_SUBPARTITIONS",""
"USER_FLASHBACK_TXN_STATE",""
"ALL_LOB_PARTITIONS",""
"USER_REPCAT",""
"USER_QUEUE_PUBLISHERS",""
"DBA_REGISTRY_PROGRESS",""
"DBA_ADVISOR_SQLPLANS",""
"DBA_ADDM_FINDINGS",""
"ALL_PART_TABLES",""
"DBA_ADVISOR_PARAMETERS_PROJ",""
"DBA_ADDM_SYSTEM_DIRECTIVES",""
"DBA_ADDM_FDG_BREAKDOWN",""
"DBA_IAS_PREGEN_STMTS",""
"DBA_ADVISOR_FINDING_NAMES",""
"USER_ADVISOR_SQLW_SUM",""
"USER_SQLSET",""
"DBA_ADVISOR_SQLA_WK_MAP",""
"USER_ADDM_TASK_DIRECTIVES",""
"DBA_ADVISOR_RATIONALE",""
"DBA_ADVISOR_TASKS",""
"USER_IND_SUBPARTITIONS",""
"DBA_ADVISOR_SQLW_SUM",""
"DBA_AQ_AGENT_PRIVS",""
